数据库：分省月度数据
指标：生活用品及服务类居民消费价格指数(上年同月=100)
时间：最近36个月
地区,2020年10月,2020年9月,2020年8月,2020年7月,2020年6月,2020年5月,2020年4月,2020年3月,2020年2月,2020年1月,2019年12月,2019年11月,2019年10月,2019年9月,2019年8月,2019年7月,2019年6月,2019年5月,2019年4月,2019年3月,2019年2月,2019年1月,2018年12月,2018年11月,2018年10月,2018年9月,2018年8月,2018年7月,2018年6月,2018年5月,2018年4月,2018年3月,2018年2月,2018年1月,2017年12月,2017年11月
北京市,100.0,99.8,100.2,100.1,99.8,100.1,100.3,100.6,100.0,97.8,98.0,98.7,99.1,99.1,99.4,99.6,100.3,100.2,100.1,99.8,100.1,102.0,102.3,101.4,101.3,101.5,101.1,101.0,100.7,101.1,101.1,101.5,101.6,101.1,101.1,101.0
天津市,100.0,100.3,100.5,100.4,100.5,100.2,100.3,99.8,100.1,100.3,100.2,100.2,100.7,100.6,100.6,100.6,100.8,101.2,101.5,102.1,101.0,101.0,101.6,101.2,100.9,100.9,100.8,100.9,100.9,101.1,100.7,100.8,101.5,101.5,101.5,101.7
河北省,99.6,99.4,99.7,99.7,99.9,99.8,100.2,100.6,100.6,100.8,100.6,100.9,100.9,100.9,101.1,101.2,101.3,101.4,101.3,101.5,102.0,101.7,101.8,101.7,101.7,101.8,101.8,101.8,101.8,101.7,101.6,101.6,101.6,101.6,101.4,101.4
山西省,99.7,99.8,99.9,99.9,100.0,100.1,99.9,100.2,100.3,100.1,100.5,100.6,100.6,100.5,100.6,100.5,100.4,100.2,100.2,100.1,100.1,100.2,100.5,100.5,100.5,100.7,100.6,100.7,100.4,100.3,100.6,100.6,100.9,100.9,100.5,100.3
内蒙古自治区,99.5,99.4,99.5,99.6,99.8,100.0,100.1,100.3,100.5,100.4,100.5,100.7,100.7,100.7,100.8,100.9,100.8,101.0,101.0,101.0,100.8,101.0,101.0,101.1,101.2,101.3,101.2,101.2,101.2,101.0,101.1,101.0,101.1,100.9,101.0,101.0
辽宁省,99.1,99.1,99.3,99.4,99.8,99.2,99.4,99.6,100.0,100.4,100.7,100.5,100.6,100.5,100.7,100.8,100.3,101.1,101.0,100.8,100.5,100.5,100.3,100.2,100.1,100.3,100.3,100.2,100.2,100.1,100.2,100.6,101.3,100.9,100.9,101.0
吉林省,100.5,100.7,100.8,100.6,100.7,101.0,100.8,101.2,101.2,101.3,101.0,101.0,101.2,100.9,101.0,101.0,101.4,101.4,101.9,102.4,102.4,102.3,102.8,102.9,102.6,102.8,102.8,102.8,102.3,102.2,102.0,101.6,101.6,101.6,101.3,101.5
黑龙江省,99.4,99.7,99.6,99.6,99.8,99.8,99.7,100.1,99.8,100.0,100.1,100.2,100.2,100.1,100.4,100.5,100.1,100.2,100.3,100.4,100.7,100.6,100.7,100.8,100.9,100.9,100.6,100.7,100.8,100.9,100.9,100.6,100.8,100.8,100.9,100.7
上海市,99.7,98.9,99.4,99.7,99.9,99.6,99.6,101.0,99.8,99.9,100.0,99.9,99.9,100.0,100.2,100.7,101.2,101.6,101.8,101.1,102.3,102.1,102.0,101.4,101.6,101.7,101.9,101.6,100.8,100.8,101.0,101.2,101.4,101.6,102.0,102.4
江苏省,100.2,100.1,100.2,100.2,100.4,100.8,100.8,100.8,101.5,101.4,101.2,101.6,101.7,101.7,101.7,102.1,102.1,102.7,103.3,103.2,102.9,103.5,103.3,103.4,103.6,103.8,103.9,103.4,103.3,102.8,102.7,103.1,103.9,103.7,103.7,103.6
浙江省,101.9,101.8,101.7,101.7,101.8,101.6,101.4,101.2,100.2,101.6,101.5,101.6,101.7,101.8,101.9,102.0,101.5,101.8,101.8,102.0,102.2,102.2,101.6,101.9,101.6,101.8,101.4,101.2,101.3,101.0,101.2,101.1,101.5,100.7,101.0,100.8
安徽省,99.5,99.5,99.5,99.6,99.7,99.7,99.7,100.1,100.0,100.5,100.4,100.6,100.7,101.2,101.2,101.3,101.4,101.5,101.8,101.7,102.1,101.8,102.0,102.0,102.2,101.8,101.7,101.6,101.4,101.4,101.4,101.6,101.9,101.9,101.8,101.7
福建省,100.7,100.5,100.6,100.4,100.7,100.7,100.5,100.7,100.4,100.9,100.8,100.7,101.1,100.7,100.6,100.8,100.7,100.4,100.2,100.5,100.6,100.8,100.3,100.3,100.3,100.8,101.0,101.0,100.7,101.1,101.5,101.4,101.6,101.4,101.8,101.9
江西省,99.9,99.9,99.9,99.5,99.6,99.4,99.2,99.2,99.3,99.1,99.3,99.2,100.0,100.0,100.2,100.3,100.3,100.5,100.8,100.9,100.7,100.9,100.9,100.9,100.7,100.5,100.6,100.7,100.8,101.5,101.3,101.2,101.3,101.5,101.7,101.9
山东省,99.5,99.7,99.7,99.9,100.0,100.2,100.3,100.4,100.4,100.4,100.5,100.5,100.5,100.5,100.7,100.5,100.6,101.1,101.2,101.5,101.4,101.4,101.4,101.5,101.8,101.9,101.6,102.0,101.8,101.6,101.6,101.5,101.6,101.6,101.4,101.5
河南省,99.9,100.0,99.5,99.6,100.0,99.8,100.1,100.3,99.7,100.1,100.3,100.4,100.5,100.7,100.7,100.4,100.2,100.5,100.8,101.0,101.2,100.9,100.8,101.4,101.2,100.9,101.0,101.6,102.2,102.3,102.0,101.9,101.8,102.3,102.5,102.1
